name,position,now_cost,predicted_rating
Eddie Nketiah,FWD,63,20
Gabriel Fernando de Jesus,FWD,81,46
Nathan Butler-Oyedeji,FWD,45,0
Ollie Watkins,FWD,73,63
Keinan Davis,FWD,54,0
Cameron Archer,FWD,42,2
Jhon Durán,FWD,55,2
Kieffer Moore,FWD,49,18
Dominic Solanke,FWD,56,45
Christian Saydee,FWD,45,0
Daniel Adu-Adjei,FWD,45,0
Dominic Sadi,FWD,45,0
Euan Pollock,FWD,45,0
Antoine Semenyo,FWD,50,3
Ivan Toney,FWD,71,66
Bryan Mbeumo,FWD,57,55
Marcus Forss,FWD,45,0
Halil Dervişoğlu,FWD,45,1
Danny Welbeck,FWD,65,34
Deniz Undav,FWD,50,18
Julio Enciso,FWD,46,19
Evan Ferguson,FWD,46,23
Timo Werner,FWD,79,0
Kai Havertz,FWD,74,38
Armando Broja,FWD,52,4
Pierre-Emerick Aubameyang,FWD,84,7
David Datro Fofana,FWD,50,1
João Félix Sequeira,FWD,71,14
Christian Benteke,FWD,55,0
Odsonne Edouard,FWD,50,29
Jean-Philippe Mateta,FWD,51,12
Luke Plange,FWD,45,0
John-Kymani Gordon,FWD,45,0
Neal Maupay,FWD,56,12
Salomón Rondón,FWD,49,2
Dominic Calvert-Lewin,FWD,79,13
Thomas Cannon,FWD,45,1
Ellis Simms,FWD,45,3
Aleksandar Mitrović,FWD,66,41
Rodrigo Muniz Carvalho,FWD,54,0
Jay Stansfield,FWD,45,2
Terry Ablade,FWD,45,0
Carlos Vinícius Alves Morais,FWD,54,22
Jamie Vardy,FWD,91,22
Kelechi Iheanacho,FWD,58,27
Patson Daka,FWD,56,25
Patrick Bamford,FWD,71,20
Sam Greenwood,FWD,41,11
Joe Gelhardt,FWD,51,3
Wilfried Gnonto,FWD,47,18
Mateo Joseph Fernández,FWD,45,0
Sonny Perkins,FWD,45,0
Georginio Rutter,FWD,50,3
Roberto Firmino,FWD,80,41
Diogo Teixeira da Silva,FWD,86,28
Darwin Núñez Ribeiro,FWD,86,39
Erling Haaland,FWD,124,95
Julián Álvarez,FWD,61,36
Liam Delap,FWD,44,0
Cristiano Ronaldo dos Santos Aveiro,FWD,102,7
Anthony Martial,FWD,63,26
Shola Shoretire,FWD,45,0
Wout Weghorst,FWD,54,7
Callum Wilson,FWD,73,56
Dwight Gayle,FWD,45,0
Alexander Isak,FWD,70,36
Chris Wood,FWD,56,17
Lyle Taylor,FWD,41,0
Sam Surridge,FWD,46,5
Brennan Johnson,FWD,55,43
Taiwo Awoniyi,FWD,56,34
Emmanuel Dennis,FWD,56,13
Dale Taylor,FWD,45,0
Adam Armstrong,FWD,53,17
Che Adams,FWD,60,32
Sékou Mara,FWD,53,10
Jimmy Morgan,FWD,45,0
Paul Onuachu,FWD,53,3
Dominic Ballard,FWD,45,0
Harry Kane,FWD,115,93
Dane Scarlett,FWD,45,0
Troy Parrott,FWD,45,0
Richarlison de Andrade,FWD,84,18
Danny Ings,FWD,63,34
Michail Antonio,FWD,69,28
Gianluca Scamacca,FWD,66,14
Divin Mubama,FWD,45,1
Raúl Jiménez,FWD,65,9
Fabio Silva,FWD,55,0
Sasa Kalajdzic,FWD,53,0
Diego Da Silva Costa,FWD,53,9
Nathan Fraser,FWD,45,0
Matheus Santos Carneiro Da Cunha,FWD,53,13
Granit Xhaka,MID,48,55
Mohamed Elneny,MID,41,3
Thomas Partey,MID,47,33
Martin Ødegaard,MID,69,77
Nicolas Pépé,MID,53,0
Emile Smith Rowe,MID,56,5
Bukayo Saka,MID,80,74
Gabriel Martinelli Silva,MID,65,75
Lucas Torreira di Pascua,MID,45,0
Reiss Nelson,MID,47,15
Fábio Ferreira Vieira,MID,56,13
Marcus Oliveira Alencar,MID,46,0
Leandro Trossard,MID,66,57
Jorge Luiz Frello Filho,MID,57,25
Matthew Smith,MID,44,0
Ethan Nwaneri,MID,45,0
Amario Cozier-Duberry,MID,45,0
Mauro Bandeira,MID,45,0
Philippe Coutinho Correia,MID,66,12
Bertrand Traoré,MID,49,7
Morgan Sanson,MID,43,1
John McGinn,MID,51,32
Marvelous Nakamba,MID,43,0
Emiliano Buendía Stati,MID,57,42
Leon Bailey,MID,43,35
Douglas Luiz Soares de Paulo,MID,48,51
Jacob Ramsey,MID,51,48
Tim Iroegbunam,MID,45,0
Anwar El Ghazi,MID,48,0
Boubacar Kamara,MID,48,16
Jaden Philogene-Bidace,MID,45,0
